Date,Share_Code,Year_High_GHS,Year_Low_GHS,Previous_Closing_Price_VWAP_GHS,Opening_Price_GHS,Closing_Price_GHS,Price_Change_GHS,Closing_Bid_Price_GHS,Closing_Offer_Price_GHS,Total_Shares_Traded,Total_Value_Traded,Last_Transactio_ Price_GHS
25/06/2007,CAL,0.27,0.2,0.2646,0.2646,0.27,0.0054,0.27,0,2142400,,0
26/06/2007,CAL,0.2702,0.2,0.27,0.27,0.2702,0.0002,0.27,0,6500,,0
27/06/2007,CAL,0.2705,0.2,0.2702,0.2702,0.2705,0.0003,0.2702,0,6000,,0
28/06/2007,CAL,0.2715,0.2,0.2705,0.2705,0.2715,0.001,0.2715,0,741200,,0
29/06/2007,CAL,0.272,0.2,0.2715,0.2715,0.272,0.0005,0.2715,0,3000,,0
03/07/2007,CAL,0.2721,0.2,0.272,0.272,0.2721,0.0001,0.272,0,180500,,0
04/07/2007,CAL,0.2723,0.2,0.2721,0.2721,0.2723,0.0002,0,0.2721,29900,,0
05/07/2007,CAL,0.2723,0.2,0.2723,0.2723,0.2723,0,,,0,,0
06/07/2007,CAL,0.2736,0.2,0.2723,0.2723,0.2736,0.0013,0.2735,0,5700,,0
09/07/2007,CAL,0.28,0.2,0.2736,0.2736,0.28,0.2736,0.2736,0,32000,,0
10/07/2007,CAL,0.281,0.2,0.28,0.28,0.281,0.001,0.281,0,17800,,0
11/07/2007,CAL,0.3091,0.2,0.281,0.281,0.3091,0.0281,0.2812,0,10600,,0
12/07/2007,CAL,0.3092,0.2,0.3091,0.3091,0.3092,0.0001,0.3091,0,25800,,0
13/07/2007,CAL,0.3093,0.2,0.3092,0.3092,0.3093,0.0001,0.3092,0,4600,,0
16/07/2007,CAL,0.3097,0.2,0.3093,0.3093,0.3097,0.0004,0.3098,0,1700,,0
17/07/2007,CAL,0.32,0.2,0.3097,0.3097,0.32,0.0103,0,0.32,129500,,0
18/07/2007,CAL,0.32,0.2,0.32,0.32,0.32,0,0,0.32,223300,,0
19/07/2007,CAL,0.32,0.2,0.32,0.32,0.32,0,,,46200,,0
20/07/2007,CAL,0.32,0.2,0.32,0.32,0.32,0,0,0.32,3876500,,0
23/07/2007,CAL,0.32,0.2,0.32,0.32,0.32,0,,,446300,,0
24/07/2007,CAL,0.3201,0.2,0.32,0.32,0.3201,0.0001,0.3201,0,2200,,0
25/07/2007,CAL,0.3201,0.2,0.3201,0.3201,0.3202,0.0001,0.3201,0,900,,0
26/07/2007,CAL,0.3201,0.2,0.3202,0.3202,0.3202,0,0.3202,0,106400,,0
27/07/2007,CAL,0.3203,0.2,0.3202,0.3202,0.3203,0.0001,0,0.3203,158200,,0
30/07/2007,CAL,0.3203,0.2,0.3203,0.3203,0.3203,0,,,276900,,0
31/07/2007,CAL,0.3203,0.2,0.3203,0.3203,0.3203,0,,,5600,,0
01/08/2007,CAL,0.3203,0.2,0.3203,0.3203,0.3203,0,,,39500,,0
02/08/2007,CAL,0.325,0.2,0.3203,0.3203,0.325,0.0047,,,303800,,0
03/08/2007,CAL,0.325,0.2,0.325,0.325,0.325,0,,,12100,,0
06/08/2007,CAL,0.325,0.2,0.325,0.325,0.325,0,0,0.325,20300,,0
07/08/2007,CAL,0.325,0.2,0.325,0.325,0.325,0,0,0.325,57100,,0
08/08/2007,CAL,0.335,0.2,0.325,0.325,0.335,0.01,,,818000,,0
09/08/2007,CAL,0.335,0.2,0.335,0.335,0.335,0,0,0.335,15900,,0
10/08/2007,CAL,0.335,0.2,0.335,0.335,0.335,0,,,38900,,0
13/08/2007,CAL,0.335,0.2,0.335,0.335,0.335,0,0,0.335,29100,,0
14/08/2007,CAL,0.335,0.2,0.335,0.335,0.335,0,0.335,0,43700,,0
15/08/2007,CAL,0.335,0.2,0.335,0.335,0.335,0,,,8100,,0
16/08/2007,CAL,0.335,0.2,0.335,0.335,0.335,0,0,0.335,111600,,0
17/08/2007,CAL,0.335,0.2,0.335,0.335,0.335,0,,,51400,,0
20/08/2007,CAL,0.335,0.2,0.335,0.335,0.335,0,0,0.3349,3900,,0
21/08/2007,CAL,0.34,0.2,0.335,0.335,0.34,0.005,,,283400,,0
22/08/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,0,0.34,8300,,0
23/08/2008,CAL,0.34,0.2,0.34,0.34,0.34,0,0,0.3398,7300,,0
24/08/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,,,171700,,0
27/08/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,,,0,,0
28/08/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,0,0.34,4500,,0
29/08/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,0,0.34,34200,,0
30/08/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,,,7669900,,0
31/08/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,0.34,0,123900,,0
03/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,,,410300,,0
04/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,0.34,0,180500,,0
05/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,0.34,0,38200,,0
06/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,0.34,0,0,,0
07/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,0,0.34,253400,,0
10/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,,,9900,,0
11/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,,,3800,,0
12/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,,,111400,,0
13/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,0,0.34,7600,,0
14/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,,,22900,,0
17/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,0.34,0,121900,,0
18/09/2007,CAL,0.34,0.2,0.34,0.34,0.34,0,0.034,0,21200,,0
19/09/2007,CAL,0.341,0.2,0.34,0.34,0.341,0.001,0.34,0,36700,,0
